SR_lD,Basisszenario,Kamera,Links_RVA,Tr_li-Breite,Tr_li-Art,Tr_li_baulTrennung,RVA-Breite,Tr_re-Breite,Tr_re-Art,GW-Breite,GW-Geschaeftsnutzung,Haeuserfront,SceneID,Häufigkeit
95,01,C,Parken,breit,Aufpflasterung,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_95,1
96,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_96,1
97,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_97,1
98,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_98,1
99,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_99,1
118,01,C,Parken,-,-,-,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_118,1
119,01,C,Parken,schmal,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_119,1
120,01,C,Parken,schmal,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_120,1
121,01,C,Parken,breit,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_121,1
122,01,C,Parken,breit,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_122,1
123,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_123,1
124,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_124,1
125,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_125,1
126,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,Gruenanlage,01_CP_C_126,1
136,02,C,Fahrstreifen,-,-,-,schmal,-,-,schmal,-,normal,01_CP_C_136,1
137,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,-,-,schmal,-,normal,01_CP_C_137,1
138,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,-,-,schmal,-,normal,01_CP_C_138,1
139,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,-,-,schmal,-,normal,01_CP_C_139,1
140,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,-,-,schmal,-,normal,01_CP_C_140,1
141,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_141,1
142,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_142,1
143,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_143,1
144,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_144,1
145,02,C,Fahrstreifen,-,-,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_145,1
146,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_146,1
147,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_147,1
148,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_148,1
149,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_149,1
150,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_150,1
151,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_151,1
152,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_152,1
153,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_153,1
154,02,C,Fahrstreifen,-,-,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_154,1
155,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_155,1
156,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_156,1
157,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_157,1
158,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_158,1
159,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_159,1
160,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_160,1
161,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_161,1
162,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_162,1
163,02,C,Fahrstreifen,-,-,-,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_163,1
164,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_164,1
165,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_165,1
166,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_166,1
167,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_167,1
168,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_168,1
169,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_169,1
170,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_170,1
171,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_171,1
172,02,C,Fahrstreifen,-,-,-,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_172,1
173,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_173,1
174,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_174,1
175,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_175,1
176,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_176,1
177,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_177,1
178,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_178,1
179,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_179,1
180,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_180,1
181,02,C,Fahrstreifen,-,-,-,schmal,-,-,schmal,ja,normal,01_CP_C_181,1
182,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,-,-,schmal,ja,normal,01_CP_C_182,1
183,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,-,-,schmal,ja,normal,01_CP_C_183,1
184,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,-,-,schmal,ja,normal,01_CP_C_184,1
185,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,-,-,schmal,ja,normal,01_CP_C_185,1
186,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_186,1
187,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_187,1
188,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_188,1
189,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_189,1
190,02,C,Fahrstreifen,-,-,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_190,1
191,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_191,1
192,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_192,1
