Experiment,Kamera,HVS_lD,SceneID,weight,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Raus
MS,C,245,01_MS_C_245,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
MS,C,246,01_MS_C_246,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
MS,C,249,01_MS_C_249,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
MS,C,250,01_MS_C_250,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
MS,C,253,01_MS_C_253,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
MS,C,254,01_MS_C_254,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
MS,C,257,01_MS_C_257,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,258,01_MS_C_258,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,261,01_MS_C_261,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,262,01_MS_C_262,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,265,01_MS_C_265,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,266,01_MS_C_266,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,269,01_MS_C_269,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,270,01_MS_C_270,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,281,01_MS_C_281,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,282,01_MS_C_282,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,285,01_MS_C_285,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Blumenkasten,-,-,-,
