Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,Kamera,SceneID,Häufigkeit,NVS_lD
1,Einbahnstraße-Gegenverkehr,-,breit,nein,normal,A,01_SE_A_16,1,16
1,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,nein,normal,A,01_SE_A_17,1,17
1,Einbahnstraße-Gegenverkehr,Spielstraße,breit,nein,normal,A,01_SE_A_18,1,18
1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,nein,normal,A,01_SE_A_19,1,19
1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,breit,nein,normal,A,01_SE_A_20,1,20
2,KFZ,-,breit,Parken-einseitig,normal,A,01_SE_A_21,1,21
2,KFZ,Fahrradstraße,breit,Parken-einseitig,normal,A,01_SE_A_22,1,22
2,KFZ,Spielstraße,breit,Parken-einseitig,normal,A,01_SE_A_23,1,23
2,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,A,01_SE_A_24,1,24
2,KFZ,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,A,01_SE_A_25,1,25
2,Einbahnstraße,-,breit,Parken-einseitig,normal,A,01_SE_A_31,1,31
2,Einbahnstraße,Fahrradstraße,breit,Parken-einseitig,normal,A,01_SE_A_32,1,32
2,Einbahnstraße,Spielstraße,breit,Parken-einseitig,normal,A,01_SE_A_33,1,33
2,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,A,01_SE_A_34,1,34
2,Einbahnstraße,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,A,01_SE_A_35,1,35
2,Einbahnstraße-Gegenverkehr,-,breit,Parken-einseitig,normal,A,01_SE_A_36,1,36
2,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-einseitig,normal,A,01_SE_A_37,1,37
2,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-einseitig,normal,A,01_SE_A_38,1,38
2,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,A,01_SE_A_39,1,39
2,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,A,01_SE_A_40,1,40
3,KFZ,-,breit,Parken-beidseitig,normal,A,01_SE_A_41,1,41
3,KFZ,Fahrradstraße,breit,Parken-beidseitig,normal,A,01_SE_A_42,1,42
3,KFZ,Spielstraße,breit,Parken-beidseitig,normal,A,01_SE_A_43,1,43
3,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,A,01_SE_A_44,1,44
3,KFZ,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,normal,A,01_SE_A_45,1,45
3,Einbahnstraße,-,breit,Parken-beidseitig,normal,A,01_SE_A_51,1,51
3,Einbahnstraße,Fahrradstraße,breit,Parken-beidseitig,normal,A,01_SE_A_52,1,52
3,Einbahnstraße,Spielstraße,breit,Parken-beidseitig,normal,A,01_SE_A_53,1,53
3,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,A,01_SE_A_54,1,54
3,Einbahnstraße,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,normal,A,01_SE_A_55,1,55
3,Einbahnstraße-Gegenverkehr,-,breit,Parken-beidseitig,normal,A,01_SE_A_56,1,56
3,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-beidseitig,normal,A,01_SE_A_57,1,57
3,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-beidseitig,normal,A,01_SE_A_58,1,58
3,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,A,01_SE_A_59,1,59
3,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,normal,A,01_SE_A_60,1,60
4,Einbahnstraße,-,schmal,nein,normal,A,01_SE_A_61,1,61
4,Einbahnstraße,Fahrradstraße,schmal,nein,normal,A,01_SE_A_62,1,62
4,Einbahnstraße,Spielstraße,schmal,nein,normal,A,01_SE_A_63,1,63
4,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,nein,normal,A,01_SE_A_64,1,64
4,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,nein,normal,A,01_SE_A_65,1,65
4,Einbahnstraße-Gegenverkehr,-,schmal,nein,normal,A,01_SE_A_66,1,66
4,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,nein,normal,A,01_SE_A_67,1,67
4,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,nein,normal,A,01_SE_A_68,1,68
4,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,nein,normal,A,01_SE_A_69,1,69
4,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,schmal,nein,normal,A,01_SE_A_70,1,70
5,Einbahnstraße,-,schmal,Parken-einseitig,normal,A,01_SE_A_71,1,71
5,Einbahnstraße,Fahrradstraße,schmal,Parken-einseitig,normal,A,01_SE_A_72,1,72
5,Einbahnstraße,Spielstraße,schmal,Parken-einseitig,normal,A,01_SE_A_73,1,73
5,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,A,01_SE_A_74,1,74
5,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-einseitig,normal,A,01_SE_A_75,1,75
5,Einbahnstraße-Gegenverkehr,-,schmal,Parken-einseitig,normal,A,01_SE_A_76,1,76
5,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-einseitig,normal,A,01_SE_A_77,1,77
5,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-einseitig,normal,A,01_SE_A_78,1,78
5,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,A,01_SE_A_79,1,79
5,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,schmal,Parken-einseitig,normal,A,01_SE_A_80,1,80
6,Einbahnstraße,-,schmal,Parken-beidseitig,normal,A,01_SE_A_81,1,81
6,Einbahnstraße,Fahrradstraße,schmal,Parken-beidseitig,normal,A,01_SE_A_82,1,82
6,Einbahnstraße,Spielstraße,schmal,Parken-beidseitig,normal,A,01_SE_A_83,1,83
6,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,A,01_SE_A_84,1,84
6,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-beidseitig,normal,A,01_SE_A_85,1,85
6,Einbahnstraße-Gegenverkehr,-,schmal,Parken-beidseitig,normal,A,01_SE_A_86,1,86
6,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-beidseitig,normal,A,01_SE_A_87,1,87
6,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-beidseitig,normal,A,01_SE_A_88,1,88
6,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,A,01_SE_A_89,1,89
6,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,schmal,Parken-beidseitig,normal,A,01_SE_A_90,1,90
